id,name,slug,rank,active,banned,is_admin,is_moderator
1202137,Dawidkupsko,dawidkupsko,1,True,False,False,False
1202139,HjugoBossi,hjugobossi,1,True,False,False,False
1202145,Kielonczyk123,kielonczyk123,1,True,False,False,False
1202152,lookingtocoom,lookingtocoom,1,True,False,False,False
1202151,wscieklypneumokok,wscieklypneumokok,1,True,False,False,False
1202158,chmura1166,chmura1166,1,True,False,False,False
1202157,Froncik,froncik,1,True,False,False,False
1202171,Pimpek1234567,pimpek1234567,1,True,False,False,False
1202172,Tuskenik,tuskenik,1,True,False,False,False
1202175,Qooki,qooki,1,True,False,False,False
1202187,Gfddcaba134,gfddcaba134,1,True,False,False,False
1202181,RedWatcherX,redwatcherx,1,True,False,False,False
1202197,Banlord,banlord,1,True,False,False,False
1202195,MaryJanek,maryjanek,1,True,False,False,False
1202205,ThatsRight,thatsright,1,True,False,False,False
1202204,Maciekmgw,maciekmgw,1,True,False,False,False
1202211,spidermaniak87,spidermaniak87,1,True,False,False,False
1202209,Maryah,maryah,1,True,False,False,False
1202210,flodda766,flodda766,1,True,False,False,False
1202216,TytusBomba,tytusbomba,1,True,False,False,False
1202222,gerardo1211,gerardo1211,1,True,False,False,False
1202230,Pajkus,pajkus,1,True,False,False,False
1202231,Korek669,korek669,1,True,False,False,False
1202236,Monkyboi,monkyboi,1,False,False,False,False
1202229,Tysia24,tysia24,1,True,False,False,False
1202255,Trfdcjbbvv,trfdcjbbvv,1,False,False,False,False
1202250,Charlie00,charlie00,1,True,False,False,False
1202253,Danielski,danielski,1,True,False,False,False
1202261,jixeji9445,jixeji9445,1,True,False,False,False
1202262,Pilich,pilich,1,True,False,False,False
1202276,Kozak91,kozak91,1,True,False,False,False
1202269,toaster222,toaster222,1,True,False,False,False
1202283,Ojahoja,ojahoja,1,True,False,False,False
1202281,anthonnov9,anthonnov9,1,True,False,False,False
1202289,Kiniomax12,kiniomax12,1,True,False,False,False
1202287,marek12marek,marek12marek,1,True,False,False,False
1202288,kljuAsbdkljuasbnd,kljuasbdkljuasbnd,1,True,False,False,False
1202308,miki2137,miki2137,1,True,False,False,False
1202300,Piotrwojak,piotrwojak,1,True,False,False,False
